id;nom;id depto
317;El Peñon;5
318;El Peñón;14
319;El Peñón;27
320;El Piñon;19
321;El Playón;27
322;El Reten;19
323;El Retorno;16
324;El Roble;28
325;El Rosal;14
326;El Rosario;21
327;El Tablon De Gomez;21
328;El Tambo;10
329;El Tambo;21
330;El Tarra;22
331;El Zulia;22
332;Elías;17
333;Encino;27
334;Enciso;27
335;Entrerrios;2
336;Envigado;2
337;Espinal;29
338;Facatativá;14
339;Falan;29
340;Filadelfia;7
341;Filandia;24
342;Firavitoba;6
343;Flandes;29
344;Florencia;8
345;Florencia;10
346;Floresta;6
347;Florián;27
348;Florida;30
349;Floridablanca;27
350;Fomeque;14
351;Fonseca;18
352;Fortul;3
353;Fosca;14
354;Francisco Pizarro;21
355;Fredonia;2
356;Fresno;29
357;Frontino;2
358;Fuente De Oro;20
359;Fundacion;19
360;Funes;21
361;Funza;14
362;Fúquene;14
363;Fusagasugá;14
364;Gachala;14
365;Gachancipá;14
366;Gachantivá;6
367;Gacheta;14
368;Galán;27
369;Galapa;4
370;Galeras;28
371;Gama;14
372;Gamarra;11
373;Gambita;27
374;Gameza;6
375;Garagoa;6
376;Garzón;17
377;Genova;24
378;Gigante;17
379;Ginebra;30
380;Giraldo;2
381;Girardot;14
382;Girardota;2
383;Girón;27
384;Gómez Plata;2
385;González;11
386;Gramalote;22
387;Granada;2
388;Granada;14
389;Granada;20
390;Guaca;27
391;Guacamayas;6
392;Guacarí;30
393;Guachetá;14
394;Guachucal;21
395;Guadalupe;2
396;Guadalupe;17
397;Guadalupe;27
398;Guaduas;14
399;Guaitarilla;21
400;Gualmatan;21
401;Guamal;19
402;Guamal;20
403;Guamo;29
404;Guapi;10
405;Guapotá;27
406;Guaranda;28
407;Guarne;2
408;Guasca;14
409;Guatape;2
410;Guataquí;14
411;Guatavita;14
412;Guateque;6
413;Guática;25
414;Guavatá;27
415;Guayabal De Siquima;14
416;Guayabetal;14
417;Guayatá;6
418;Guepsa;27
419;Güicán;6
420;Gutiérrez;14
421;Hacarí;22
422;Hatillo De Loba;5
423;Hato;27
424;Hato Corozal;9
425;Hatonuevo;18
426;Heliconia;2
427;Herrán;22
428;Herveo;29
429;Hispania;2
430;Hobo;17
431;Honda;29
432;Ibague;29
433;Icononzo;29
434;Iles;21
435;Imues;21
436;Inírida;15
437;Inzá;10
438;Ipiales;21
439;Iquira;17
440;Isnos;17
441;Itagui;2
442;Itsmina;12
443;Ituango;2
444;Iza;6
445;Jambalo;10
446;Jamundí;30
447;Jardín;2
448;Jenesano;6
449;Jericó;2
450;Jericó;6
451;Jerusalén;14
452;Jesús María;27
453;Jordán;27
454;Juan De Acosta;4
455;Junín;14
456;Juradó;12
457;La Apartada;13
458;La Argentina;17
459;La Belleza;27
460;La Calera;14
461;La Capilla;6
462;La Ceja;2
463;La Celia;25
464;La Chorrera;1
465;La Cruz;21
466;La Cumbre;30
467;La Dorada;7
468;La Esperanza;22
469;La Estrella;2
470;La Florida;21
471;La Gloria;11
472;La Guadalupe;15
473;La Jagua De Ibirico;11
474;La Jagua Del Pilar;18
475;La Llanada;21
476;La Macarena;20
477;La Merced;7
478;La Mesa;14
479;La Montañita;8
480;La Palma;14
481;La Paz;11
482;La Paz;27
483;La Pedrera;1
484;La Peña;14
485;La Pintada;2
486;La Plata;17
487;La Playa;22
488;La Primavera;32
489;La Salina;9
490;La Sierra;10
491;La Tebaida;24
492;La Tola;21
493;La Union;21
494;La Unión;2
495;La Unión;28
496;La Unión;30
497;La Uribe;20
498;La Uvita;6
499;La Vega;10
500;La Vega;14
501;La Victoria;1
502;La Victoria;6
503;La Victoria;30
504;La Virginia;25
505;Labateca;22
506;Labranzagrande;6
507;Landázuri;27
508;Lebríja;27
509;Leiva;21
510;Lejanías;20
511;Lenguazaque;14
512;Lerida;29
513;Leticia;1
514;Libano;29
515;Liborina;2
516;Linares;21
517;Lloró;12
518;Lopez;10
519;Lorica;13
520;Los Andes;21
521;Los Córdobas;13
522;Los Palmitos;28
523;Los Patios;22
524;Los Santos;27
525;Lourdes;22
526;Luruaco;4
527;Macanal;6
528;Macaravita;27
529;Maceo;2
530;Macheta;14
531;Madrid;14
532;Magangué;5
533;Magui;21
534;Mahates;5
535;Maicao;18
536;Majagual;28
537;Málaga;27
538;Malambo;4
539;Mallama;21
540;Manati;4
541;Manaure;11
542;Manaure;18
543;Maní;9
544;Manizales;7
545;Manta;14
546;Manzanares;7
547;Mapiripan;15
548;Mapiripan;20
549;Margarita;5
550;María La Baja;5
551;Marinilla;2
552;Maripí;6
553;Mariquita;29
554;Marmato;7
555;Marquetalia;7
556;Marsella;25
557;Marulanda;7
558;Matanza;27
559;Medellín;2
560;Medina;14
561;Medio Atrato;12
562;Medio Baudó;12
563;Medio San Juan;12
564;Melgar;29
565;Mercaderes;10
566;Mesetas;20
567;Milan;8
568;Miraflores;6
569;Miraflores;16
570;Miranda;10
571;Miriti - Paraná;1
572;Mistrató;25
573;Mitú;31
574;Mocoa;23
575;Mogotes;27
576;Molagavita;27
577;Momil;13
578;Mompós;5
579;Mongua;6
580;Monguí;6
581;Moniquirá;6
582;Montebello;2
583;Montecristo;5
584;Montelíbano;13
585;Montengro;24
586;Montería;13
587;Monterrey;9
588;Moñitos;13
589;Morales;5
590;Morales;10
591;Morelia;8
592;Morichal;15
593;Morroa;28
594;Mosquera;14
595;Mosquera;21
596;Motavita;6
597;Murillo;29
598;Murindó;2
599;Mutata;2
600;Mutiscua;22
601;Muzo;6
602;Nariño;2
603;Nariño;14
604;Nariño;21
605;Nátaga;17
606;Natagaima;29
607;Nechí;2
608;Necoclí;2
609;Neira;7
610;Neiva;17
611;Nemocon;14
612;Nilo;14
613;Nimaima;14
614;Nobsa;6
615;Nocaima;14
616;Norcasia;7
617;Nóvita;12
618;Nueva Granada;19
619;Nuevo Colón;6
620;Nunchía;9
621;Nuquí;12
622;Obando;30
623;Ocamonte;27
624;Ocaña;22
625;Oiba;27
626;Oicatá;6
627;Olaya;2
628;Olaya Herrera;21
629;Onzaga;27
630;Oporapa;17
631;Orito;23
632;Orocué;9
633;Ortega;29
634;Ospina;21
635;Otanche;6
636;Ovejas;28
637;Pachavita;6
638;Pacho;14
639;Pacoa;31
640;Pácora;7
641;Padilla;10
642;Paez;10
643;Páez;6
644;Paicol;17
645;Pailitas;11
646;Paime;14
647;Paipa;6
648;Pajarito;6
649;Palermo;17
650;Palestina;7
651;Palestina;17
652;Palmar;27
653;Palmar De Varela;4
654;Palmas Del Socorro;27
655;Palmira;30
656;Palmito;28
657;Palocabildo;29
658;Pamplona;22
659;Pamplonita;22
660;Pana Pana;15
661;Pandi;14
662;Panqueba;6
663;Papunahua;31
664;Páramo;27
665;Paratebueno;14
666;Pasca;14
667;Pasto;21
668;Patia;10
669;Pauna;6
670;Paya;6
671;Paz De Ariporo;9
672;Paz De Río;6
673;Pedraza;19
674;Pelaya;11
675;Pensilvania;7
676;Peñol;2
677;Peque;2
678;Pereira;25
679;Pesca;6
680;Piamonte;10
681;Piedecuesta;27
682;Piedras;29
683;Piendamo;10
684;Pijao;24
685;Pijiño Del Carmen;19
686;Pinchote;27
687;Pinillos;5
688;Piojó;4
689;Pisba;6
690;Pital;17
691;Pitalito;17
692;Pivijay;19
693;Planadas;29
694;Planeta Rica;13
695;Plato;19
696;Policarpa;21
697;Polonuevo;4
698;Ponedera;4
699;Popayán;10
700;Pore;9
701;Potosí;21
702;Pradera;30
703;Prado;29
704;Providencia;21
705;Providencia Y Santa Catalina;26
706;Pueblo Bello;11
707;Pueblo Nuevo;13
708;Pueblo Rico;25
709;Pueblo Viejo;19
710;Pueblorrico;2
711;Puente Nacional;27
712;Puerres;21
713;Puerto Alegria;1
714;Puerto Arica;1
715;Puerto Asis;23
716;Puerto Berrio;2
717;Puerto Boyaca;6
718;Puerto Caicedo;23
719;Puerto Carreño;32
720;Puerto Colombia;4
721;Puerto Colombia;15
722;Puerto Concordia;20
723;Puerto Escondido;13
724;Puerto Gaitán;20
725;Puerto Guzman;23
726;Puerto Leguizamo;23
727;Puerto Libertador;13
728;Puerto Lleras;20
729;Puerto Lopez;20
730;Puerto Nare;2
731;Puerto Nariño;1
732;Puerto Parra;27
733;Puerto Rico;8
734;Puerto Rico;20
735;Puerto Rondón;3
736;Puerto Salgar;14
737;Puerto Santander;1
738;Puerto Santander;22
739;Puerto Tejada;10
740;Puerto Triunfo;2
741;Puerto Wilches;27
742;Puli;14
743;Pupiales;21
744;Purace;10
745;Purificación;29
746;Purísima;13
747;Quebradanegra;14
748;Quetame;14
749;Quibdó;12
750;Quimbaya;24
751;Quinchia;25
752;Quípama;6
753;Quipile;14
754;Ragonvalia;22
755;Ramiriquí;6
756;Ráquira;6
757;Recetor;9
758;Regidor;5
759;Remedios;2
760;Remolino;19
761;Repelon;4
762;Restrepo;20
763;Restrepo;30
764;Retiro;2
765;Ricaurte;14
766;Ricaurte;21
767;Río De Oro;11
768;Río Frío;12
769;Rio Quito;12
770;Río Viejo;5
771;Rioblanco;29
772;Riofrio;30
773;Riohacha;18
774;Rionegro;2
