id;nom
1;Albañil
2;Arquitecto
3;Capataz
4;Carpintero
5;Electricista
6;Estucador
7;Ing. Civil
8;Jardinero
9;Ornamentador
10;Pintor
11;Plomero
12;Topógrafo
13;Vidriero
