id;nom
1;Amazonas
2;Antioquia
3;Arauca
4;Atlántico
5;Bogotá, D.C. (Distrito Capital)
6;Bolívar
7;Boyacá
8;Caldas
9;Caquetá
10;Casanare
11;Cauca
12;Cesar
13;Chocó
14;Córdoba
15;Cundinamarca
16;Guainía
17;Guaviare
18;Huila
19;La Guajira
20;Magdalena
21;Meta
22;Nariño
23;Norte de Santander
24;Putumayo
25;Quindío
26;Risaralda
27;San Andrés y Providencia
28;Santander
29;Sucre
30;Tolima
31;Valle del Cauca
32;Vaupés
33;Vichada
